Breast Cancer Type 1 Susceptibility Protein Measurement,Contralateral breast cancer,Tubular breast cancer,stage IIIA breast cancer,Locally advanced breast cancer,stage IIIB breast cancer,breast cancer diagnosis,estrogen receptor-positive breast cancer,bilateral breast cancer,stage IA breast cancer,progesterone receptor-negative breast cancer,Suspected breast cancer,progesterone receptor-positive breast cancer,Mucinous breast cancer,Lumpectomy (breast cancer),"cellular diagnosis, breast cancer",Family history of breast cancer,HER2-negative breast cancer,contralateral breast cancer,Breast Cancer Model,breast cancer prevention,Breast Cancer Surveillance Consortium,hormone receptor/growth factor receptor-negative breast cancer,allogeneic GM-CSF-secreting breast cancer vaccine,Breast cancer metastatic,Invasive ductal breast cancer,estrogen receptor-negative breast cancer,"stage, breast cancer",Breast Cancer Radiotherapy,Breast cancer invasive NOS,Advanced breast cancer diagnosis
,Mammography,,,atezolizumab,,Immunologic Adjuvants,Pharmacotherapy,Therapeutic procedure,,,,,,,,,Oncologists,,,research,,,,,,,,,,
,Malignant neoplasm of breast,,,Neoadjuvant Chemotherapy,,Carrier of disorder,Pharmacotherapy,ERBB2 gene|ERBB2,,,,,,,,,talazoparib,,,Woman,,,,,,,,,,
,Mammography,,,Neoadjuvant Chemotherapy,,Mastectomy,Transcript,Therapeutic procedure,,,,,,,,,IMPACT gene,,,Estrogen Antagonists,,,,,,,,,,
,Tamoxifen,,,Parametric Image,,Medical Surveillance,Hormone Therapy,Radiation therapy,,,,,,,,,Hypersensitivity,,,Docosahexaenoic Acids,,,,,,,,,,
,Tamoxifen,,,Volumetric-Modulated Arc Therapy,,Triple test,COX5A gene|COX5A,Therapeutic procedure,,,,,,,,,paclitaxel,,,Endocrine therapy,,,,,,,,,,
,Tamoxifen,,,Curative Surgery,,Introduction procedure,AGR2,Therapeutic procedure,,,,,,,,,apatinib,,,"Fatty Acids, Omega-3",,,,,,,,,,
,Body mass index,,,BECN1 gene|BECN1,,Microelectrodes,Hormone Therapy,Lymphoma,,,,,,,,,apatinib,,,Disease,,,,,,,,,,
,exemestane,,,Neoadjuvant Therapy,,Woman,Pharmaceutical Preparations,Mutation,,,,,,,,,Neoadjuvant Chemotherapy,,,Human,,,,,,,,,,
,bilateral breast cancer,,,TAC Regimen,,Malignant neoplasm of breast,tamoxifen,"Contraceptives, Oral",,,,,,,,,paclitaxel,,,Raloxifene,,,,,,,,,,
,Steroidal Aromatase Inhibitor,,,Neoadjuvant Chemotherapy,,Pharmacotherapy,Therapeutic procedure,Duct (organ) structure,,,,,,,,,trastuzumab deruxtecan,,,research,,,,,,,,,,
,tomography,,,Neoadjuvant Therapy,,Breast,Body tissue,Individual,,,,,,,,,talazoparib,,,Tamoxifen,,,,,,,,,,
,Malignant neoplasm of breast,,,Beclin-1,,Personal Satisfaction,Neoadjuvant Therapy,"Radiotherapy, Intensity-Modulated",,,,,,,,,bevacizumab,,,deguelin,,,,,,,,,,
,Malignant neoplasm of breast,,,pyrotinib,,Diagnosis,Pharmacotherapy,Therapeutic procedure,,,,,,,,,Pharmacotherapy,,,Woman,,,,,,,,,,
,Estrogen Receptor Status,,,Diagnosis,,Study models,MMP10 gene|MMP10,Malignant neoplasm of breast,,,,,,,,,Second line treatment,,,Malignant neoplasm of breast,,,,,,,,,,
,Ovariectomy,,,Sentinel Lymph Node Biopsy,,Malignant neoplasm of breast,Pharmacotherapy,Malignant neoplasm of breast,,,,,,,,,cabazitaxel,,,Tamoxifen,,,,,,,,,,
,Patients,,,Canine Soft Tissue Sarcoma,,Disease,Pharmacotherapy,Chromosome abnormality,,,,,,,,,nivolumab,,,Group education,,,,,,,,,,
,Ovarian Carcinoma,,,Neoadjuvant Chemotherapy,,Therapeutic procedure,"AGR3 protein, human|AGR3",Mammography,,,,,,,,,cabazitaxel,,,Therapeutic procedure,,,,,,,,,,
,BRCA1 gene|BRCA1,,,Neoadjuvant Chemotherapy,,Magnetic Resonance Imaging,Body tissue,Therapeutic procedure,,,,,,,,,Pharmacotherapy,,,Patients,,,,,,,,,,
,Malignant neoplasm of breast,,,Neoadjuvant Chemotherapy,,Diagnosis,EC Breast Regimen,"Chemotherapy, Adjuvant",,,,,,,,,paclitaxel,,,Tamoxifen,,,,,,,,,,
,Magnetic Resonance Imaging,,,Neoadjuvant Therapy,,Diagnosis,SPAG5 gene|SPAG5,CISH,,,,,,,,,Poly(ADP-ribose) Polymerases,,,Woman,,,,,,,,,,
,Family,,,Neoadjuvant Chemotherapy,,Screening mammography,Immunologic Adjuvants,PTEN Phosphohydrolase|PTEN,,,,,,,,,Neoadjuvant Chemotherapy,,,Tamoxifen,,,,,,,,,,
,BRCA2 gene|BRCA2,,,Neoadjuvant Chemotherapy,,Therapeutic procedure,Late Relapse,ATM gene|ATM,,,,,,,,,fulvestrant,,,Tamoxifen,,,,,,,,,,
,Patients,,,Physical function,,"Diagnosis, Computer-Assisted",CDK4/6 Inhibition,Malignant neoplasm of breast,,,,,,,,,N-(2-amino-5-fluorobenzyl)-4-(N-(pyridine-3-acrylyl)aminomethyl)benzamide,,,Tamoxifen,,,,,,,,,,
,Computer Aided Detection Systems,,,Neoadjuvant Chemoradiotherapy,,Therapeutic procedure,C17orf49 gene|C17orf49,Endocrine therapy,,,,,,,,,Neoadjuvant Chemotherapy,,,Assessment procedure,,,,,,,,,,
,Mammography,,,Frailty,,"Radiotherapy, Adjuvant",Tumor size,Contralateral breast cancer,,,,,,,,,gemcitabine,,,Tamoxifen Citrate,,,,,,,,,,
,Malignant neoplasm of breast,,,Hypofractionated radiation therapy,,Radiation therapy,Tumor Progression,radical mastectomy,,,,,,,,,Toxic effect,,,Tamoxifen,,,,,,,,,,
,Mammography,,,Neoadjuvant Chemotherapy,,"Chemotherapy, Adjuvant",Elastoid degeneration,Woman,,,,,,,,,palbociclib,,,Woman,,,,,,,,,,
,Mastectomy,,,Neoadjuvant Chemotherapy,,Biopsy,tamoxifen,trastuzumab,,,,,,,,,Ganetespib,,,Woman,,,,,,,,,,
,Mammography,,,Mammaplasty,,Diagnosis,Neoplasms,Mastectomy,,,,,,,,,Ultrasonography,,,Malignant neoplasm of breast,,,,,,,,,,
,Malignant Neoplasms,,,Toxic effect,,Cancer Center,Selective Estrogen Receptor Down Regulator,Excision,,,,,,,,,letrozole,,,Tamoxifen,,,,,,,,,,
,Woman,,,Hypofractionated radiation therapy,,Diagnosis,tamoxifen,Pharmacotherapy,,,,,,,,,Antibody-Drug Conjugates,,,Raloxifene,,,,,,,,,,
,Malignant neoplasm of breast,,,Mastectomy,,Woman,tamoxifen,Cardiomyopathies,,,,,,,,,"CD69 protein, human|CD69",,,Tamoxifen,,,,,,,,,,
,Therapeutic procedure,,,Genetic Profile,,Microcalcification,tamoxifen,Woman,,,,,,,,,Pharmacotherapy,,,"Diet, Fat-Restricted",,,,,,,,,,
,Patients,,,Excision of axillary lymph nodes group,,Microcalcification,Pharmacotherapy,Doxorubicin,,,,,,,,,pembrolizumab,,,Woman,,,,,,,,,,
,checkpoint kinase 2,,,Assay,,Assessment procedure,tamoxifen,Neoplasm,,,,,,,,,Aromatase Inhibitors,,,Health education,,,,,,,,,,
,Magnetic Resonance Imaging,,,Mammaplasty,,Intervention regimes,Hormone Therapy,Neoplasm,,,,,,,,,Anthracycline Antibiotics,,,Tamoxifen,,,,,,,,,,
,BRCA1 gene|BRCA1,,,Neoadjuvant Chemoradiotherapy,,Daily,Neoadjuvant Therapy,Klinefelter's Syndrome,,,,,,,,,IMPACT gene,,,Tamoxifen,,,,,,,,,,
,Hormone Receptor,,,Mastectomy,,Intervention regimes,fatostatin,Malignant neoplasm of breast,,,,,,,,,IMPACT gene,,,Tamoxifen,,,,,,,,,,
,Mastectomy,,,Neoadjuvant Chemotherapy,,Breast Feeding,Hyperlipidemia,Malignant neoplasm of breast,,,,,,,,,erbB-2 Receptor|ERBB2,,,Clinical Research,,,,,,,,,,
,ERBB2 gene|ERBB2,,,Responsive Disease,,Therapeutic procedure,fatostatin,Malignant neoplasm of breast,,,,,,,,,Bevacizumab/Paclitaxel,,,celecoxib,,,,,,,,,,
,adjuvant therapy,,,Tumor Markers,,Specialty Group,trastuzumab,Malignant Neoplasms,,,,,,,,,fluorouracil,,,educational intervention,,,,,,,,,,
,Tamoxifen,,,Neoadjuvant Chemoradiotherapy,,Gadopentetate Dimeglumine,Pharmacotherapy,Malignant neoplasm of breast,,,,,,,,,palbociclib,,,Clinical Research,,,,,,,,,,
,Hormone Receptor,,,Immunologic Adjuvants,,Diagnosis,Hormone Therapy,Papillary serous cystadenocarcinoma,,,,,,,,,paclitaxel,,,Intervention regimes,,,,,,,,,,
,Tamoxifen,,,Responsive Disease,,Woman,Hypersensitivity,Vimentin,,,,,,,,,Responsiveness assessment,,,Malignant neoplasm of breast,,,,,,,,,,
,Malignant neoplasm of breast,,,Operation on breast,,Woman,Therapeutic procedure,Neoplasm,,,,,,,,,Biological Markers,,,intervention program,,,,,,,,,,
,Mastectomy,,,Mammaplasty,,Intervention regimes,Hormone Therapy,"Muscular Dystrophy, Facioscapulohumeral",,,,,,,,,Agent,,,Health Services,,,,,,,,,,
,Bilateral mastectomy,,,Neoadjuvant Chemotherapy,,Spectrum Analysis,Aromatase Inhibitors,Estrogen Receptors,,,,,,,,,IMPACT gene,,,Patients,,,,,,,,,,
,Magnetic Resonance Imaging,,,PET/CT scan,,Malignant neoplasm of breast,palbociclib,Preventive surgery,,,,,,,,,chlorodihydroxypyridine/potassium oxonate/tegafur,,,Health Services,,,,,,,,,,
,Mastectomy,,,Magnetic resonance imaging of breast,,Exploration procedure,Adjuvant Radiation Therapy,Ovarian Carcinoma,,,,,,,,,epirubicin,,,Health Services,,,,,,,,,,
,Noninfiltrating Intraductal Carcinoma,,,Neoadjuvant Therapy,,Diagnostic Imaging,Adjuvant Therapy,"Polymorphism, Genetic",,,,,,,,,Pharmacotherapy,,,adjuvant therapy,,,,,,,,,,
,Magnetic Resonance Imaging,,,Neoadjuvant Chemotherapy,,Intervention regimes,MZB1 gene|MZB1,Carcinoma,,,,,,,,,BRIP1 gene|BRIP1,,,anastrozole,,,,,,,,,,
,Reduction mammaplasty,,,Neoadjuvant Chemotherapy,,Diagnosis,tamoxifen,Neoplasm,,,,,,,,,cyclophosphamide,,,research,,,,,,,,,,
,Tamoxifen,,,trastuzumab,,Prevention,Neoadjuvant Therapy,Squamous cell carcinoma,,,,,,,,,ribociclib,,,Noninfiltrating Intraductal Carcinoma,,,,,,,,,,
,Obesity,,,Neoadjuvant Therapy,,Procedures,New medications,Treatment Guidelines,,,,,,,,,Single Agent Therapy,,,"Vaccines, DNA",,,,,,,,,,
,Ultrasonography,,,Pharmacotherapy,,Biopsy,"PIK3CA protein, human|PIK3CA",Breast-Conserving Surgery,,,,,,,,,Pharmacotherapy,,,Clinical Research,,,,,,,,,,
,Mammography,,,Neoadjuvant Chemotherapy,,Tissue Fixation,antagonists,Neoplasm,,,,,,,,,Neoadjuvant Therapy,,,AR gene|AR,,,,,,,,,,
,Mammography,,,Programmed cell death ligand 1,,Psychosocial care,Hormone Therapy,BRCA1 gene|BRCA1,,,,,,,,,eribulin,,,Population Group,,,,,,,,,,
,Woman,,,Treatment Protocols,,month,tamoxifen,Malignant neoplasm of breast,,,,,,,,,Chemotherapy Regimen,,,Breast cancer invasive NOS,,,,,,,,,,
,Mammography,,,Neoadjuvant Therapy,,Balanced diet,MZB1 gene|MZB1,Radiation therapy,,,,,,,,,bevacizumab,,,Intervention regimes,,,,,,,,,,
,Malignant neoplasm of breast,,,Treatment Protocols,,Psychosocial care,Female Breast Carcinoma,"Radiotherapy, Adjuvant",,,,,,,,,eribulin,,,Mastectomy,,,,,,,,,,
,Patients,,,Programmed cell death ligand 1,,follow-up,tamoxifen,Multimodal Imaging,,,,,,,,,ribociclib,,,Woman,,,,,,,,,,
,Malignant neoplasm of breast,,,pyrotinib,,Secondary malignant neoplasm of bone,Hormone Therapy,Radiation therapy,,,,,,,,,Macrophage Activation,,,Tamoxifen,,,,,,,,,,
,Pharmaceutical Preparations,,,Diffusion weighted imaging,,Operative Surgical Procedures,Systemic Therapy,Therapeutic procedure,,,,,,,,,Pharmacotherapy,,,Raloxifene,,,,,,,,,,
,Malignant neoplasm of breast,,,Neoadjuvant Chemotherapy,,Woman,Hormone Therapy,CDKN2A gene|CDKN2A,,,,,,,,,Pharmacotherapy,,,Woman,,,,,,,,,,
,Malignant Neoplasms,,,Neoadjuvant Chemotherapy,,"Hospitals, General",Hypersensitivity,Radiation therapy,,,,,,,,,palbociclib,,,Woman,,,,,,,,,,
,Mastectomy,,,Pathologic Response,,Malignant neoplasm of breast,Breast-Conserving Surgery,Pharmacotherapy,,,,,,,,,Treatment Protocols,,,Pharmaceutical Preparations,,,,,,,,,,
,Magnetic Resonance Imaging,,,"CD69 protein, human|CD69",,Operative Surgical Procedures,Indazoles,Therapeutic procedure,,,,,,,,,pyrotinib,,,Melatonin,,,,,,,,,,
,Carrier of disorder,,,Neoadjuvant Chemotherapy,,"Spectrum Analysis, Mass",Obesity,Carcinoma,,,,,,,,,sacituzumab govitecan,,,exemestane,,,,,,,,,,
,Radiation,,,Neoadjuvant Chemotherapy,,Mammaplasty,Pharmacotherapy,CDKN1A|TCEAL1|NSG1|H3F3AP6,,,,,,,,,Neoadjuvant Chemotherapy,,,exemestane,,,,,,,,,,
,Hereditary Malignant Neoplasm,,,Curative Surgery,,Therapeutic procedure,Elastoid degeneration,"Radiotherapy, Adjuvant",,,,,,,,,Exosomes,,,Tamoxifen,,,,,,,,,,
,BRCA1 gene|BRCA1,,,Neoadjuvant Therapy,,"Chemotherapy, Adjuvant",Triple Negative Breast Neoplasms,Radiation therapy,,,,,,,,,Poly(ADP-ribose) Polymerase Inhibitors,,,Malignant neoplasm of breast,,,,,,,,,,
,Tamoxifen,,,Mammaplasty,,Therapeutic procedure,estrogen receptor-negative breast cancer,Radiation therapy,,,,,,,,,Pharmacotherapy,,,Woman,,,,,,,,,,
,Patients,,,PET/CT scan,,trastuzumab,Biological Response Modifiers,Mammography,,,,,,,,,Poly(ADP-ribose) Polymerase Inhibitors,,,Tamoxifen,,,,,,,,,,
,CCL27 gene|CCL27,,,Neoadjuvant Chemotherapy,,Woman,Pharmacotherapy,Malignant neoplasm of breast,,,,,,,,,ado-trastuzumab emtansine|DMPK|IGHD1-7,,,Fenretinide,,,,,,,,,,
,Membrane Transport Proteins,,,TP53 gene|TP53,,Fine needle aspiration biopsy,Retinoid X Receptor gamma,Ultrasonography,,,,,,,,,capecitabine,,,Evaluating interventions,,,,,,,,,,
,Mammographic breast density,,,PET/CT scan,,Malignant neoplasm of breast,Malignant Neoplasms,Malignant Neoplasms,,,,,,,,,Pharmacotherapy,,,Nutraceutical,,,,,,,,,,
,Detection,,,Neoadjuvant Chemotherapy,,Malignant neoplasm of breast,Selective Estrogen Receptor Modulators,Malignant neoplasm of breast,,,,,,,,,Luteinizing Hormone-releasing Hormone Agonist,,,Woman,,,,,,,,,,
,Clinical Research,,,Neoadjuvant Chemotherapy,,Disease recurrence,ITGA8 gene|ITGA8,BRCA1 gene|BRCA1,,,,,,,,,Treatment Protocols,,,Woman,,,,,,,,,,
,BRCA2 gene|BRCA2,,,Neoadjuvant Radiotherapy,,Females,Body tissue,Malignant neoplasm of stomach,,,,,,,,,tamoxifen,,,Therapeutic procedure,,,,,,,,,,
,Carrier of disorder,,,Neoadjuvant Chemotherapy,,Specialty Group,Hypersensitivity,Esophagus,,,,,,,,,Cohort,,,Pharmaceutical Preparations,,,,,,,,,,
,Mastectomy,,,Mucin-1 Antigen,,Specialty Group,"RNA, Long Untranslated",Mastectomy,,,,,,,,,vinorelbine,,,Woman,,,,,,,,,,
,Selective Estrogen Receptor Modulators,,,Immunologic Adjuvants,,Malignant neoplasm of breast,ITGA8 gene|ITGA8,Mastectomy,,,,,,,,,apatinib,,,Woman,,,,,,,,,,
,letrozole,,,"HIF1A protein, human|HIF1A",,Surgical biopsy,First line treatment,Radiotherapy planning,,,,,,,,,Pharmacotherapy,,,Woman,,,,,,,,,,
,Mammography,,,Neoadjuvant Chemotherapy,,Mental disorders,Hormone Therapy,Advance,,,,,,,,,palbociclib,,,Aspirin,,,,,,,,,,
,Upper Extremity,,,Operative Surgical Procedures,,Assay,Estrogen Receptors,Noninfiltrating Intraductal Carcinoma,,,,,,,,,durvalumab,,,Woman,,,,,,,,,,
,Tamoxifen,,,Hypofractionated radiation therapy,,"Risk factor, cardiovascular",tamoxifen,Radiation therapy,,,,,,,,,Breast-Conserving Surgery,,,Selective Estrogen Receptor Modulators,,,,,,,,,,
,Tamoxifen,,,FDG-Positron Emission Tomography and Computed Tomography Scan,,E-Cadherin|EREG|ESR1,Selective Estrogen Receptor Modulators,Radiation therapy,,,,,,,,,Oncolytic Virotherapy,,,Non-infiltrating lobular carcinoma,,,,,,,,,,
,Tamoxifen,,,"Chemotherapy, Adjuvant",,Therapeutic procedure,XBP1 gene|XBP1,Mammaplasty,,,,,,,,,Immune,,,Tamoxifen,,,,,,,,,,
,Mastectomy,,,Immunologic Adjuvants,,ERBB2|NEU1|NEURL1,Estrogen Receptor alpha,Mammography,,,,,,,,,Signal Transduction,,,Tamoxifen,,,,,,,,,,
,Reduction - action,,,systemic administration,,Woman,Oncogenes,Mammography,,,,,,,,,DNA Repair,,,Tamoxifen,,,,,,,,,,
,Alleles,,,Neoadjuvant Chemotherapy,,Malignant neoplasm of breast,Hormone Therapy,Second Primary Cancers,,,,,,,,,nivolumab,,,Intervention regimes,,,,,,,,,,
,Not significant,,,Treatment Protocols,,Metric,Estrogen Receptor Inhibitor [EPC],Operative Surgical Procedures,,,,,,,,,IMPACT gene,,,Woman,,,,,,,,,,
,Alleles,,,Active Breathing Coordinator-Mediated Radiation Therapy,,Focus Groups,Body tissue,Operative Surgical Procedures,,,,,,,,,Second line treatment,,,Tamoxifen,,,,,,,,,,
,Single Nucleotide Polymorphism,,,cyclophosphamide,,Malignant neoplasm of breast,MicroRNA 205-5p,"Radiotherapy, Adjuvant",,,,,,,,,BARRIER,,,Selective Estrogen Receptor Modulators,,,,,,,,,,
,Single Nucleotide Polymorphism,,,vinorelbine,,Hormone Receptor,tamoxifen,Implantable venous access port,,,,,,,,,Immunologic Adjuvants,,,Clinical Research,,,,,,,,,,
,Single Nucleotide Polymorphism,,,Mastectomy,,Intervention regimes,PRR11 gene|PRR11,Therapeutic procedure,,,,,,,,,Hormone Therapy,,,Human,,,,,,,,,,
,Patients,,,anaphylaxis,,Procedures,Bombesin Receptor,Malignant Neoplasms,,,,,,,,,eribulin,,,Tamoxifen,,,,,,,,,,
,Single Nucleotide Polymorphism,,,Acute hemorrhage,,Breast Self-Examination,tumor growth,Malignant neoplasm of breast,,,,,,,,,ribociclib,,,Tamoxifen,,,,,,,,,,
,Tamoxifen,,,trastuzumab,,BASELINE,Oncogenes,Medullary,,,,,,,,,"CDKN2C protein, human|CDKN2C",,,Tamoxifen,,,,,,,,,,
,Tamoxifen,,,Neoadjuvant Chemotherapy,,Diagnosis,Estrogen Receptor alpha,Bilateral Malignant Neoplasm,,,,,,,,,ipilimumab,,,Fenretinide,,,,,,,,,,
,Pharmacotherapy,,,Mammaplasty,,Mammography,Targeted Therapy,Malignant neoplasm of breast,,,,,,,,,olaparib,,,Woman,,,,,,,,,,
,Tamoxifen,,,fluorouracil,,Prostate,trastuzumab,Malignant neoplasm of breast,,,,,,,,,eribulin,,,Woman,,,,,,,,,,
,Mammography,,,Desensitization,,Disease,"MLL3 protein, human|KMT2C",Imaging Techniques,,,,,,,,,taxane,,,Woman,,,,,,,,,,
,Patients,,,Neoadjuvant Chemotherapy,,Study models,Estrogen Receptors,Mastectomy,,,,,,,,,trastuzumab deruxtecan,,,Tamoxifen,,,,,,,,,,
,Hormone Receptor,,,Hormone Therapy,,cohort,Estrogen Receptor Inhibitor [EPC],BRCA1 gene|BRCA1,,,,,,,,,Hormone Therapy,,,Tamoxifen,,,,,,,,,,
,Ovarian Carcinoma,,,pyrotinib,,Neoplasm,First line treatment,BRCA2 gene|BRCA2,,,,,,,,,doxorubicin liposome,,,Woman,,,,,,,,,,
,Therapeutic procedure,,,Neoadjuvant Therapy,,Mammography,"TFF1 protein, human|TFF1",Malignant neoplasm of breast,,,,,,,,,RNF5 gene|RNF5,,,exemestane,,,,,,,,,,
,Tamoxifen,,,Single Agent Therapy,,Tissue specimen,Oncogenes,"Carcinoma, Ductal, Breast",,,,,,,,,Angiogenesis Inhibitors,,,"Clinical Trials, Phase II",,,,,,,,,,
,Radiation therapy,,,simvastatin,,"Diagnosis, Computer-Assisted",Neoplasm Metastasis,Tamoxifen,,,,,,,,,eribulin,,,Raloxifene,,,,,,,,,,
,Estrogen Receptor Status,,,Reconstructive Surgical Procedures,,Diagnosis,USP11 gene|USP11,Bilateral mastectomy,,,,,,,,,nivolumab,,,Tamoxifen,,,,,,,,,,
,Tamoxifen,,,trastuzumab,,Reconstructive Surgical Procedures,Pharmacotherapy,Pulmonary toxicity,,,,,,,,,Excision of axillary lymph nodes group,,,Tamoxifen,,,,,,,,,,
,Therapeutic procedure,,,vinorelbine,,Phage Display,Hormone Therapy,"Radiotherapy, Adjuvant",,,,,,,,,Targeted Therapy,,,Intervention regimes,,,,,,,,,,
,Hormone Receptor,,,ado-trastuzumab emtansine,,psychological distress,CYP27A1 gene|CYP27A1,Radiation therapy,,,,,,,,,Targeted Therapy Agent,,,Tamoxifen,,,,,,,,,,
,XCL1 gene|XCL1,,,Neoadjuvant Therapy,,Modified radical mastectomy,tamoxifen,Malignant neoplasm of breast,,,,,,,,,erbB-2 Receptor|ERBB2,,,"Clinical Trials, Phase II",,,,,,,,,,
,Obesity,,,Adriamycin,,Biopsy,tumor growth,Malignant neoplasm of breast,,,,,,,,,interleukin-10,,,Patients,,,,,,,,,,
,Mastectomy,,,Pharmacotherapy,,Woman,Cell Count,Diabetes,,,,,,,,,Poly(ADP-ribose) Polymerase Inhibitors,,,Selective Estrogen Receptor Modulators,,,,,,,,,,
,Patients,,,Proton Therapy,,Diagnosis,"Antigens, Neoplasm",Digital mammography,,,,,,,,,Neoadjuvant Chemotherapy,,,Intervention regimes,,,,,,,,,,
,Tamoxifen,,,pyrotinib,,Assessment procedure,Hormone Therapy,Ovarian Carcinoma,,,,,,,,,Pharmacotherapy,,,Intervention regimes,,,,,,,,,,
,Tamoxifen,,,Neoadjuvant Therapy,,Screening mammography,tumor growth,Patients,,,,,,,,,"Receptors, Progesterone",,,Aromatase Inhibitors,,,,,,,,,,
,Tamoxifen,,,Neoadjuvant Chemoradiotherapy,,Biopsy,interleukin-8,Patients,,,,,,,,,olaparib,,,Woman,,,,,,,,,,
,Alendronate,,,estrogens,,diagnostic procedure,interleukin-8,Magnetic Resonance Imaging,,,,,,,,,Neoadjuvant Chemotherapy,,,research,,,,,,,,,,
,Patients,,,Neoadjuvant Therapy,,Mammography,Malignant neoplasm of breast,Nipples,,,,,,,,,olaparib,,,Saline,,,,,,,,,,
,Aromatase Inhibitors,,,Bilateral mastectomy,,Patient identification,MYC,Blood Transfusion,,,,,,,,,lapatinib,,,oleuropein,,,,,,,,,,
,Internal mammary lymph node group,,,Work-up,,Cancer Treatment,ERBB3 Receptor Protein-Tyrosine Kinase|ERBB3,Intensity-Modulated Proton Therapy,,,,,,,,,"Receptors, Progesterone",,,Pharmacotherapy,,,,,,,,,,
,Disease,,,"Receptors, Progesterone",,Osteoporosis,Tumor Suppressor Genes,FOXJ2 gene|FOXJ2,,,,,,,,,Cell-Free DNA,,,Clinical Research,,,,,,,,,,
,Tamoxifen,,,Immunologic Adjuvants,,Patients,cryptotanshinone,Volumetric-Modulated Arc Therapy,,,,,,,,,sacituzumab govitecan,,,Woman,,,,,,,,,,
,Patients,,,Neoadjuvant Chemotherapy,,treatment program,Malignant neoplasm of breast,BRCA1 Gene Mutation,,,,,,,,,Secondary malignant neoplasm of viscera,,,Woman,,,,,,,,,,
,Noninfiltrating Intraductal Carcinoma,,,pyrotinib,,Woman,tamoxifen,Bilateral mastectomy,,,,,,,,,CDKN2A gene|CDKN2A,,,Decreased translucency,,,,,,,,,,
,Tamoxifen,,,Operation on breast,,"Image analysis, quantitative",Drug Delivery Systems,tamoxifen,,,,,,,,,Neoplasms,,,Woman,,,,,,,,,,
,Hereditary Malignant Neoplasm,,,Operation on breast,,Patients,Excitatory Amino Acids,Woman,,,,,,,,,First line treatment,,,Treatment Protocols,,,,,,,,,,
,BRCA1 gene|BRCA1,,,Palliative Care,,Institutes,"MCM3 protein, human|MCM3",Axilla,,,,,,,,,Pharmacotherapy,,,research,,,,,,,,,,
,Tamoxifen,,,Neoadjuvant Chemotherapy,,Mastectomy,tamoxifen,Axilla,,,,,,,,,Neoadjuvant Therapy,,,research,,,,,,,,,,
,Mammography,,,Conventional Imaging,,Diabetes,"Diabetes Mellitus, Non-Insulin-Dependent",Bilateral subcutaneous mammectomy,,,,,,,,,Triple Negative Breast Neoplasms,,,research,,,,,,,,,,
,desires,,,carboplatin,,Procedures,GA-Binding Protein Transcription Factor|GABPA|NFE2L2,Mammaplasty,,,,,,,,,Estrogen Antagonists,,,anastrozole,,,,,,,,,,
,Ovariectomy,,,Neoadjuvant Chemotherapy,,"Hospitals, General",BECN1 gene|BECN1,Mammaplasty,,,,,,,,,vinorelbine,,,Curcumin,,,,,,,,,,
,Mastectomy,,,Pharmacotherapy,,Procedures,Liquid Biopsy,Claudins,,,,,,,,,Metronomic Chemotherapy,,,Tumor Initiation,,,,,,,,,,
,Treatment Protocols,,,Biological Response Modifiers,,Procedures,"MCM3 protein, human|MCM3",Tomotherapy,,,,,,,,,doxorubicin,,,,,,,,,,,,,
,DMD|BEST1,,,trastuzumab,,Intervention regimes,exemestane,claudin 3,,,,,,,,,Neoadjuvant Therapy,,,,,,,,,,,,,
,Diagnostic Imaging,,,First line treatment,,Malignant neoplasm of breast,Androgen Receptor,Malignant neoplasm of breast,,,,,,,,,Metronomic Chemotherapy,,,,,,,,,,,,,
,Obesity,,,docetaxel,,adjuvant therapy,Immunohistochemistry,"Neoplasms, Second Primary",,,,,,,,,Antibiotics,,,,,,,,,,,,,
,Mastectomy,,,Neoadjuvant Chemotherapy,,Psychosocial care,Systemic Therapy,Genetic Counseling,,,,,,,,,Pharmacotherapy,,,,,,,,,,,,,
,Electromagnetic Energy,,,Neoadjuvant Radiotherapy,,Assessment procedure,Interventional procedure,"Neoplastic Syndromes, Hereditary",,,,,,,,,Neoadjuvant Chemotherapy,,,,,,,,,,,,,
,Neurofibromatosis 1,,,Lymph node excision,,Mammography,SLC20A1 gene|SLC20A1,Radiation therapy,,,,,,,,,MKI67 gene|MKI67,,,,,,,,,,,,,
,Electromagnetic Energy,,,Mammaplasty,,Procedures,CDKN2A gene|CDKN2A,Pharmacotherapy,,,,,,,,,pembrolizumab,,,,,,,,,,,,,
,Single Nucleotide Polymorphism,,,Pharmacotherapy,,Malignant neoplasm of breast,cathepsin V,Woman,,,,,,,,,Pharmacotherapy,,,,,,,,,,,,,
,Endocrine therapy,,,"Radiotherapy, Adjuvant",,Symptoms,Clinical Treatment,Metaplastic carcinoma of breast,,,,,,,,,Neoadjuvant Chemotherapy,,,,,,,,,,,,,
,Radiation therapy,,,Mastectomy,,Magnetic Resonance Imaging,Hepatocyte Nuclear Factor 3-alpha|FOXA1,Medical Devices,,,,,,,,,Aromatase Inhibitors,,,,,,,,,,,,,
,Tamoxifen,,,Hypofractionated radiation therapy,,Contraction,Selective Estrogen Receptor Down Regulator,Neoadjuvant Chemotherapy,,,,,,,,,,,,,,,,,,,,,,
,,,,Excision of skin,,Physical Examination,GATA3 gene|GATA3,Neoadjuvant Chemotherapy,,,,,,,,,,,,,,,,,,,,,,
